ts,origin_netload,origin_speed,netload_10,speed_10,netload_20,speed_20,netload_30,speed_30,netload_40,speed_40,netload_5,speed_5,netload_50,speed_50
0,714,39.83778033092081,714,39.83778033092081,714,39.83778033092081,714,39.83778033092081,714,39.83778033092081,714,39.83778033092081,714,39.83778033092081
1,1008,39.617976129662026,1008,39.617976129662026,1008,39.617976129662026,1008,39.617976129662026,1008,39.617976129662026,1008,39.617976129662026,1008,39.617976129662026
2,1091,39.496982862138,1091,39.496982862138,1091,39.496982862138,1091,39.496982862138,1091,39.496982862138,1091,39.496982862138,1091,39.496982862138
3,986,39.64528116876483,986,39.64528116876483,986,39.64528116876483,986,39.64528116876483,986,39.64528116876483,986,39.64528116876483,986,39.64528116876483
4,918,39.71750602276395,918,39.71750602276395,918,39.71750602276395,918,39.71750602276395,918,39.71750602276395,918,39.71750602276395,918,39.71750602276395
5,821,39.79089726385391,821,39.79089726385391,821,39.79089726385391,821,39.79089726385391,821,39.79089726385391,821,39.79089726385391,821,39.79089726385391
6,737,39.830254995312806,737,39.830254995312806,737,39.830254995312806,737,39.830254995312806,737,39.830254995312806,737,39.830254995312806,737,39.830254995312806
7,709,39.83925477608454,709,39.83925477608454,709,39.83925477608454,709,39.83925477608454,709,39.83925477608454,709,39.83925477608454,709,39.83925477608454
8,686,39.84534576583716,686,39.84534576583716,686,39.84534576583716,686,39.84534576583716,686,39.84534576583716,686,39.84534576583716,686,39.84534576583716
9,664,39.85018740068492,664,39.85018740068492,664,39.85018740068492,664,39.85018740068492,664,39.85018740068492,664,39.85018740068492,664,39.85018740068492
10,633,39.85557410498392,633,39.85557410498392,633,39.85557410498392,633,39.85557410498392,633,39.85557410498392,633,39.85557410498392,633,39.85557410498392
11,597,39.86005820170593,597,39.86005820170593,597,39.86005820170593,597,39.86005820170593,597,39.86005820170593,597,39.86005820170593,597,39.86005820170593
12,562,39.862972884147965,562,39.862972884147965,562,39.862972884147965,562,39.862972884147965,562,39.862972884147965,562,39.862972884147965,562,39.862972884147965
13,528,39.86478019137423,528,39.86478019137423,528,39.86478019137423,528,39.86478019137423,528,39.86478019137423,528,39.86478019137423,528,39.86478019137423
14,514,39.865300090548246,514,39.865300090548246,514,39.865300090548246,514,39.865300090548246,514,39.865300090548246,514,39.865300090548246,514,39.865300090548246
15,511,39.86539738112412,511,39.86539738112412,511,39.86539738112412,511,39.86539738112412,511,39.86539738112412,511,39.86539738112412,511,39.86539738112412
16,495,39.86584228225359,495,39.86584228225359,495,39.86584228225359,495,39.86584228225359,495,39.86584228225359,495,39.86584228225359,495,39.86584228225359
17,463,39.86642928439813,463,39.86642928439813,463,39.86642928439813,463,39.86642928439813,463,39.86642928439813,463,39.86642928439813,463,39.86642928439813
18,485,39.86606418188337,485,39.86606418188337,485,39.86606418188337,485,39.86606418188337,485,39.86606418188337,485,39.86606418188337,485,39.86606418188337
19,500,39.86571589036421,500,39.86571589036421,500,39.86571589036421,500,39.86571589036421,500,39.86571589036421,500,39.86571589036421,500,39.86571589036421
20,515,39.86526660753469,515,39.86526660753469,515,39.86526660753469,515,39.86526660753469,515,39.86526660753469,515,39.86526660753469,515,39.86526660753469
21,547,39.86387635602989,547,39.86387635602989,547,39.86387635602989,547,39.86387635602989,547,39.86387635602989,547,39.86387635602989,547,39.86387635602989
22,637,39.85496505150607,637,39.85496505150607,637,39.85496505150607,637,39.85496505150607,637,39.85496505150607,637,39.85496505150607,637,39.85496505150607
23,741,39.82881632073616,741,39.82881632073616,741,39.82881632073616,741,39.82881632073616,741,39.82881632073616,741,39.82881632073616,741,39.82881632073616
24,932,39.70410510917801,932,39.70410510917801,932,39.70410510917801,932,39.70410510917801,932,39.70410510917801,932,39.70410510917801,932,39.70410510917801
25,1322,39.00957737114659,1322,39.00957737114659,1322,39.00957737114659,1322,39.00957737114659,1322,39.00957737114659,1322,39.00957737114659,1322,39.00957737114659
26,1928,36.881531218686845,2082,36.215749024112206,2236,35.52361895268029,2388,34.82386479922602,2494,34.33017521557072,2004,36.55691810663079,2655,33.57670532719773
27,2785,32.96877676674364,3104,31.49494562665788,3371,30.295435445548232,3686,28.93359151081177,3975,27.741330224870623,2935,32.27148602288541,4306,26.44628315611419
28,3605,29.27777833582435,3860,28.208966843395824,4117,27.17646832215862,4396,26.10723833915385,4799,24.656470816962653,3730,28.7484357245753,5049,23.810257890351185
29,4233,26.72538486784604,4398,26.099767186317106,4708,24.974567450235654,4916,24.25544477470857,5292,23.0254119793628,4329,26.35910847900449,5538,22.267032100660845
30,4918,24.24866661375592,5046,23.8201761111501,5243,23.180761737240637,5433,22.58639178333649,5645,21.948079227009018,4977,24.049864104624305,5875,21.2839752699375
31,5541,22.25800090263042,5615,22.03685272404076,5695,21.801240870203767,5812,21.463021342285483,5830,21.41164804083013,5554,22.21892514972824,5994,20.951517157100085
32,5751,21.63842421873448,5794,21.514569502302283,5823,21.43160581303256,5857,21.33491444013644,5850,21.354770837051227,5749,21.64420944153566,5955,21.05965585308908
33,5717,21.737071305108056,5687,21.824641619933548,5759,21.615305194744145,5761,21.60953090080141,5814,21.457304575309205,5709,21.760374772147543,5803,21.48877352183899
34,5506,22.363686000156164,5331,22.902798794283807,5228,23.228608521741894,5091,23.671995750562576,4980,24.039814895134,5444,22.552635109356853,4855,24.46341816349729
35,5314,22.95613356256501,5006,23.95296133859807,4684,25.059373307545407,4426,25.99545864681752,4141,27.08237654187737,5165,23.43106520654861,3852,28.24183462158788
36,5092,23.66871724892724,4848,24.487438048183407,4577,25.442143982137686,4332,26.34776472480685,4099,27.24729883713945,4942,24.167529012241364,3871,28.16384485877199
37,4965,24.090118270716168,4802,24.64607681381769,4655,25.162358328586677,4483,25.784771212092405,4341,26.313770622501963,4873,24.40179873945257,4206,26.829546990919773
38,4998,23.97963980602449,4879,24.381305575059667,4768,24.76422100371277,4649,25.18373560580544,4540,25.57629405225843,4936,24.18777877748204,4438,25.950919149690076
39,4924,24.22834755580702,4823,24.573483555389227,4722,24.9252738185657,4639,25.219417858702403,4552,25.532684622793795,4873,24.40179873945257,4485,25.777418876571648
40,4864,24.432582194144924,4783,24.71200507567175,4713,24.956947675522155,4641,25.212276059291423,4589,25.398834129385406,4832,24.542460281633296,4540,25.57629405225843
41,4797,24.66340342567169,4728,24.90418769971689,4666,25.123229062271623,4615,25.305328344074063,4567,25.47830963840088,4763,24.781659178174007,4519,25.652845033413577
42,4660,25.144562290968043,4603,25.3484284242232,4541,25.57265621408322,4508,25.69306244660933,4468,25.840000505415738,4635,25.23370948536132,4408,26.062452526786657
43,4509,25.689402925971837,4448,25.9138780413271,4423,26.006608901093912,4383,26.15586766897074,4348,26.287369287160885,4484,25.78109470419862,4293,26.495717047818985
44,4288,26.514761113946623,4243,26.68693421481186,4205,26.83341453043269,4159,27.01206940410949,4142,27.07846470506948,4266,26.59875993601988,4102,27.23547817685208
45,4111,27.200053573847992,4077,27.334173997198324,4055,27.42138401048218,4008,27.608817135024022,3987,27.69305677947237,4096,27.25912572665961,3957,27.81392633861812
46,3956,27.817965993934305,3918,27.97198210617227,3893,28.073848657058463,3858,28.21717970151699,3835,28.3118232339469,3937,27.894850079082108,3816,28.39027803198684
47,3786,28.51465151050176,3753,28.65216279892141,3737,28.719097846109264,3714,28.815616364140865,3693,28.90404905618645,3771,28.57706590833812,3678,28.967393932171053
48,3679,28.963166321193714,3652,29.077542647013704,3645,29.10727380272395,3621,29.20945184807421,3610,29.256408513597545,3669,29.005472067386712,3593,29.32913172034364
49,3743,28.693977138011668,3724,28.77360848843969,3715,28.8114125834024,3692,28.90826742381144,3678,28.967393932171053,3737,28.719097846109264,3661,29.039364014430674
50,3829,28.336571979339336,3804,28.43995444067941,3801,28.45238875973083,3791,28.493880391570208,3776,28.556244283466143,3817,28.38614273088228,3770,28.58123225048159
51,3837,28.3035790840337,3818,28.38200810712328,3811,28.410964694110564,3799,28.46068168427249,3791,28.493880391570208,3825,28.353084714966027,3780,28.53959909375441
52,4076,27.338130825601755,4061,27.39756626301411,4058,27.40947202495598,4049,27.44522664996884,4042,27.4730745169414,4072,27.353965057458087,4032,27.51291592866714
53,4280,26.5452674924342,4271,26.57963995996813,4267,26.594934559944654,4258,26.629387804526814,4248,26.66773480512338,4276,26.56053724257586,4241,26.69461881606709
54,4460,25.869518791761685,4449,25.91017768502816,4444,25.92868629179123,4439,25.9472119660899,4434,25.96575471513518,4455,25.88798987577294,4426,25.99545864681752
55,4593,25.38441905076834,4583,25.42047693552765,4579,25.434918938873142,4572,25.46021838310125,4566,25.481929912799384,4586,25.40965250342253,4560,25.5036657287678
56,4739,24.865591630670604,4734,24.88312538690479,4729,24.90067566157621,4721,24.92879048754539,4706,24.98162000093289,4735,24.879617314544987,4701,24.999262985877305
57,4833,24.539016509996944,4828,24.55624188411276,4823,24.573483555389227,4818,24.59074153600545,4807,24.628766561977717,4830,24.549349779490623,4804,24.639150750550684
58,4945,24.15741277575289,4932,24.20129143910158,4927,24.21819669822695,4925,24.224963294529648,4916,24.25544477470857,4941,24.170902371631133,4913,24.265616839259025
59,4982,24.033118604026903,4976,24.05321511430109,4972,24.06662552174128,4968,24.08004612424672,4963,24.096836224516032,4981,24.03646643146275,4956,24.12036916988628
60,5126,23.557618831541447,5117,23.58695726632525,5112,23.603278139060222,5105,23.626153484552635,5101,23.639238807478847,5121,23.573911753252904,5090,23.675274876455987
61,5336,22.887144945951626,5325,22.921603107047808,5320,22.93728979716499,5315,22.9529914387768,5308,22.974998883373477,5331,22.902798794283807,5305,22.984439634942586
62,5474,22.46092981217547,5465,22.48838645593515,5456,22.515890157307847,5454,22.52200849018799,5445,22.54956982387607,5467,22.482280915883027,5441,22.56183446696624
63,5499,22.384907541199897,5496,22.3940111387724,5486,22.42439400497708,5484,22.43047751598844,5474,22.46092981217547,5496,22.3940111387724,5469,22.47617769871433
64,5536,22.273055760543347,5533,22.28209554454165,5528,22.2971733102743,5520,22.321327562037258,5513,22.342492687368363,5534,22.27908171049354,5511,22.34854504153792
