ts,netload,speed
0,714,39.83778033092081
1,1008,39.617976129662026
2,1091,39.496982862138
3,986,39.64528116876483
4,918,39.71750602276395
5,821,39.79089726385391
6,737,39.830254995312806
7,709,39.83925477608454
8,686,39.84534576583716
9,664,39.850187400684916
10,633,39.855574104983916
11,597,39.86005820170593
12,562,39.862972884147965
13,528,39.86478019137423
14,514,39.865300090548246
15,511,39.86539738112412
16,495,39.86584228225359
17,463,39.86642928439813
18,485,39.86606418188337
19,500,39.86571589036421
20,515,39.86526660753469
21,547,39.863876356029884
22,637,39.85496505150607
23,741,39.82881632073616
24,932,39.70410510917801
25,1322,39.00957737114659
26,2655,33.57670532719773
27,4306,26.44628315611419
28,5049,23.810257890351185
29,5538,22.267032100660845
30,5875,21.2839752699375
31,5994,20.951517157100085
32,5955,21.059655853089076
33,5803,21.48877352183899
34,4855,24.463418163497295
35,3852,28.241834621587877
36,3871,28.16384485877199
37,4206,26.829546990919773
38,4438,25.950919149690073
39,4485,25.777418876571648
40,4540,25.57629405225843
41,4519,25.652845033413577
42,4408,26.062452526786657
43,4293,26.495717047818985
44,4102,27.23547817685208
45,3957,27.81392633861812
46,3816,28.390278031986842
47,3678,28.967393932171053
48,3593,29.329131720343636
49,3661,29.039364014430674
50,3770,28.58123225048159
51,3780,28.539599093754415
52,4032,27.51291592866714
53,4241,26.69461881606709
54,4426,25.99545864681752
55,4560,25.5036657287678
56,4701,24.999262985877305
57,4804,24.639150750550684
58,4913,24.265616839259025
59,4956,24.120369169886278
60,5090,23.675274876455987
61,5305,22.984439634942586
62,5441,22.561834466966236
63,5469,22.476177698714334
64,5511,22.348545041537918
65,5593,22.102275202661158
66,4968,24.08004612424672
67,4212,26.806356281028616
68,4513,25.674771629098775
69,5058,23.780537176201396
70,5484,22.430477515988436
71,5800,21.497367310963348
72,5933,21.121007565738175
73,5728,21.705086600635994
74,6013,20.899120221432668
75,6201,20.39058210733615
76,5460,22.503660474911257
77,4554,25.52542584688669
78,3998,27.648893316278393
79,3572,29.41922279544567
80,3372,30.29101589378595
81,3319,30.52604461199549
82,3238,30.88826571027223
83,3113,31.45392742315863
84,2985,32.04058013335739
85,2883,32.51251275361755
86,2730,33.22571947571602
87,2535,34.13851984848397
88,2375,34.884159212603265
89,2218,35.60555555381753
90,1972,36.694616587693126
91,1745,37.62283092835358
92,1528,38.402832085609575
93,1320,39.01471831604883
94,1116,39.45489182570501
95,676,39.84765955122202
