0,1,2,3,4,5,total,x
127,122,120,119,114,112,714,0
176,172,163,163,158,151,983,1
182,178,164,164,156,156,1000,2
180,165,163,157,147,144,956,3
174,157,149,142,141,129,892,4
164,141,137,127,122,124,815,5
159,134,126,114,101,103,737,6
154,128,121,111,95,94,703,7
148,127,116,103,94,85,673,8
149,127,113,103,85,85,662,9
150,119,110,93,83,80,635,10
143,118,107,87,76,75,606,11
139,113,97,82,70,67,568,12
141,105,87,83,65,59,540,13
137,104,86,73,65,57,522,14
136,103,89,76,62,57,523,15
132,99,83,72,58,57,501,16
130,91,81,65,52,52,471,17
136,94,84,69,60,52,495,18
146,96,81,69,60,55,507,19
146,98,84,69,63,53,513,20
146,103,92,79,65,61,546,21
166,113,105,95,81,75,635,22
192,132,118,105,98,87,732,23
226,158,149,138,127,118,916,24
292,224,213,199,186,180,1294,25
399,331,311,297,285,282,1905,26
549,480,452,432,425,417,2755,27
702,637,588,569,559,547,3602,28
817,746,710,690,665,658,4286,29
950,867,823,796,780,778,4994,30
1072,979,938,912,895,877,5673,31
1136,1038,981,961,938,924,5978,32
1145,1033,984,952,927,914,5955,33
1127,1011,956,925,901,885,5805,34
1096,969,914,874,851,836,5540,35
1071,934,881,837,807,791,5321,36
1047,915,845,805,776,760,5148,37
1053,913,852,797,774,765,5154,38
1049,906,838,784,762,742,5081,39
1042,898,831,778,750,730,5029,40
1031,889,811,766,735,718,4950,41
1019,864,792,744,718,702,4839,42
1002,842,769,721,692,680,4706,43
958,812,720,678,652,630,4450,44
928,768,692,643,622,599,4252,45
902,736,663,617,587,570,4075,46
881,714,635,589,554,540,3913,47
861,693,607,572,539,521,3793,48
860,692,619,569,542,517,3799,49
886,718,635,593,552,546,3930,50
888,710,636,590,566,543,3933,51
919,743,674,628,607,582,4153,52
950,772,701,666,642,615,4346,53
989,796,728,694,661,645,4513,54
1005,814,740,705,675,658,4597,55
1017,838,762,720,693,672,4702,56
1040,843,780,744,713,688,4808,57
1055,861,798,749,727,699,4889,58
1054,861,796,756,725,706,4898,59
1072,890,810,769,743,719,5003,60
1100,906,828,791,764,742,5131,61
1115,933,849,806,782,764,5249,62
1112,939,857,820,795,766,5289,63
1107,930,859,823,790,769,5278,64
1104,934,858,829,790,763,5278,65
1098,929,853,810,776,747,5213,66
1122,950,871,829,800,768,5340,67
1177,1015,934,891,850,821,5688,68
1244,1068,1005,954,914,885,6070,69
1303,1140,1064,1016,980,945,6448,70
1335,1165,1095,1046,1005,970,6616,71
1307,1143,1065,1017,975,944,6451,72
1223,1065,982,934,893,857,5954,73
1125,971,889,842,797,761,5385,74
1042,896,812,766,727,689,4932,75
970,829,741,699,666,627,4532,76
897,761,684,636,599,563,4140,77
850,714,634,588,553,516,3855,78
794,662,592,540,507,475,3570,79
774,645,568,524,483,449,3443,80
769,648,581,534,499,463,3494,81
748,632,569,526,490,454,3419,82
724,613,551,509,477,443,3317,83
697,594,535,493,466,433,3218,84
674,576,525,488,461,425,3149,85
635,538,489,453,430,398,2943,86
593,500,457,423,402,372,2747,87
550,466,423,390,372,344,2545,88
502,432,395,363,345,316,2353,89
443,383,352,324,305,282,2089,90
391,339,313,288,271,252,1854,91
339,293,273,251,238,223,1617,92
288,251,236,219,207,196,1397,93
229,208,199,186,176,166,1164,94
151,141,130,125,118,111,776,95
