ts,speed,netload
0,36.4,714
1,36.0,983
2,37.9,1000
3,38.7,956
4,38.5,892
5,38.6,815
6,39.3,737
7,40.1,703
8,40.0,673
9,39.7,662
10,39.7,635
11,38.8,606
12,38.6,568
13,38.8,540
14,39.26,522
15,39.0,523
16,41.3,501
17,40.1,471
18,41.55,495
19,40.5,507
20,41.2,513
21,42.8,546
22,42.0,635
23,41.4,732
24,41.5,916
25,41.2,1294
26,38.8,1905
27,33.8,2755
28,30.4,3602
29,26.4,4286
30,23.1,4994
31,21.0,5673
32,19.8,5978
33,20.8,5955
34,20.8,5805
35,22.6,5540
36,23.1,5321
37,22.8,5148
38,23.6,5154
39,23.9,5081
40,24.0,5029
41,23.5,4950
42,24.0,4839
43,25.0,4706
44,25.9,4450
45,26.6,4252
46,28.1,4075
47,28.3,3913
48,28.3,3793
49,28.3,3799
50,28.5,3930
51,28.5,3933
52,28.1,4153
53,27.2,4346
54,26.4,4513
55,27.3,4597
56,26.685,4702
57,26.5,4808
58,26.3,4889
59,25.7,4898
60,26.6,5003
61,25.7,5131
62,24.2,5249
63,24.82,5289
64,25.7,5278
65,26.1,5278
66,24.4,5213
67,24.4,5340
68,23.6,5688
69,21.1,6070
70,19.8,6448
71,18.6,6616
72,19.5,6451
73,19.2,5954
74,20.3,5385
75,22.2,4932
76,23.0,4532
77,24.26,4140
78,25.2,3855
79,27.1,3570
80,27.1,3443
81,26.4,3494
82,27.4,3419
83,28.9,3317
84,28.7,3218
85,29.2,3149
86,30.7,2943
87,31.9,2747
88,33.3,2545
89,35.0,2353
90,37.0,2089
91,37.0,1854
92,38.8,1617
93,40.0,1397
94,40.7,1164
95,40.0,776
