ts,speed
0,36.4
1,36.0
2,37.9
3,38.7
4,38.5
5,38.6
6,39.3
7,40.1
8,40.0
9,39.7
10,39.7
11,38.8
12,38.6
13,38.8
14,39.26
15,39.0
16,41.3
17,40.1
18,41.55
19,40.5
20,41.2
21,42.8
22,42.0
23,41.4
24,41.5
25,41.2
26,38.8
27,33.8
28,30.4
29,26.4
30,23.1
31,21.0
32,19.8
33,20.8
34,20.8
35,22.6
36,23.1
37,22.8
38,23.6
39,23.9
40,24.0
41,23.5
42,24.0
43,25.0
44,25.9
45,26.6
46,28.1
47,28.3
48,28.3
49,28.3
50,28.5
51,28.5
52,28.1
53,27.2
54,26.4
55,27.3
56,26.685000000000002
57,26.5
58,26.3
59,25.7
60,26.6
61,25.7
62,24.2
63,24.82
64,25.7
65,26.1
66,24.4
67,24.4
68,23.6
69,21.1
70,19.8
71,18.6
72,19.5
73,19.2
74,20.3
75,22.2
76,23.0
77,24.26
78,25.2
79,27.1
80,27.1
81,26.4
82,27.4
83,28.9
84,28.7
85,29.2
86,30.7
87,31.9
88,33.3
89,35.0
90,37.0
91,37.0
92,38.8
93,40.0
94,40.7
95,40.0
