x,netload
0,89
1,126
2,121
3,110
4,113
5,129
6,126
7,113
8,106
9,88
10,91
11,99
12,95
13,93
14,88
15,86
16,84
17,70
18,85
19,94
20,107
21,126
22,157
23,199
24,223
25,292
26,411
27,591
28,715
29,715
30,715
31,714
32,715
33,712
34,713
35,715
36,715
37,712
38,714
39,715
40,709
41,692
42,656
43,684
44,714
45,715
46,712
47,712
48,713
49,714
50,713
51,713
52,713
53,712
54,714
55,715
56,713
57,712
58,715
59,715
60,714
61,715
62,714
63,715
64,711
65,715
66,714
67,714
68,713
69,714
70,715
71,715
72,714
73,714
74,715
75,714
76,715
77,705
78,702
79,703
80,685
81,665
82,607
83,558
84,495
85,496
86,469
87,424
88,399
89,360
90,329
91,319
92,299
93,261
94,228
95,172
