x,netload
0,72
1,132
2,137
3,117
4,117
5,117
6,103
7,110
8,101
9,97
10,99
11,102
12,93
13,85
14,83
15,85
16,78
17,74
18,74
19,77
20,84
21,91
22,114
23,139
24,170
25,212
26,248
27,329
28,477
29,605
30,714
31,816
32,868
33,901
34,897
35,844
36,783
37,728
38,754
39,771
40,791
41,794
42,800
43,773
44,726
45,674
46,616
47,613
48,600
49,594
50,606
51,589
52,592
53,609
54,627
55,664
56,693
57,699
58,720
59,711
60,719
61,760
62,768
63,791
64,819
65,819
66,796
67,813
68,860
69,937
70,1028
71,1024
72,967
73,859
74,797
75,725
76,681
77,640
78,588
79,540
80,538
81,535
82,514
83,496
84,460
85,472
86,456
87,451
88,403
89,374
90,331
91,255
92,203
93,186
94,161
95,100
